"Num_Acc";"mois";"jour";"hrmn";"lum";"agg";"atm";"col";"com";"dep";"catv";"catu";"grav";"sexe";"trajet";"an_nais";"age"
"2,02E+11";1;24;1505;1;1;"Normale";1;5;590;"Autres";1;3;"Masculin";0;13;2005
"2,02E+11";1;24;1505;1;1;"Normale";1;5;590;"Autres";1;1;"Masculin";5;45;1973
"2,02E+11";1;24;1505;1;1;"Normale";1;5;590;"Autres";1;3;"Masculin";0;13;2005
"2,02E+11";1;24;1505;1;1;"Normale";1;5;590;"Autres";1;1;"Masculin";5;45;1973
"2,02E+11";2;12;1015;1;2;"Temps éblouissant";7;11;590;"Autres";1;1;"Masculin";0;32;1986
"2,02E+11";3;4;1135;1;2;"Normale";7;477;590;"Motocyclette";1;3;"Masculin";5;72;1946
"2,02E+11";3;4;1135;1;2;"Normale";7;477;590;"Motocyclette";1;1;"Masculin";0;62;1956
"2,02E+11";3;4;1135;1;2;"Normale";7;477;590;"Autres";1;3;"Masculin";5;72;1946
"2,02E+11";3;4;1135;1;2;"Normale";7;477;590;"Autres";1;1;"Masculin";0;62;1956
"2,02E+11";3;4;1135;1;2;"Normale";7;477;590;"Autres";1;3;"Masculin";5;72;1946
"2,02E+11";3;4;1135;1;2;"Normale";7;477;590;"Autres";1;1;"Masculin";0;62;1956
"2,02E+11";5;5;1735;1;2;"Temps éblouissant";3;52;590;"Bicyclette";1;3;"Masculin";5;98;1920
"2,02E+11";5;5;1735;1;2;"Temps éblouissant";3;52;590;"Bicyclette";1;1;"Masculin";5;67;1951
"2,02E+11";5;5;1735;1;2;"Temps éblouissant";3;52;590;"Autres";1;3;"Masculin";5;98;1920
"2,02E+11";5;5;1735;1;2;"Temps éblouissant";3;52;590;"Autres";1;1;"Masculin";5;67;1951
"2,02E+11";6;26;1605;1;2;"Normale";3;477;590;"Cyclomoteur";1;4;"Masculin";5;86;1932
"2,02E+11";6;26;1605;1;2;"Normale";3;477;590;"Cyclomoteur";1;1;"Masculin";5;31;1987
"2,02E+11";6;26;1605;1;2;"Normale";3;477;590;"Autres";1;4;"Masculin";5;86;1932
"2,02E+11";6;26;1605;1;2;"Normale";3;477;590;"Autres";1;1;"Masculin";5;31;1987
"2,02E+11";9;23;630;2;2;"Pluie légère";6;52;590;"Autres";1;1;"Masculin";0;69;1949
"2,02E+11";9;26;40;5;2;"Normale";6;133;590;"Autres";1;3;"Masculin";9;81;1937
"2,02E+11";11;30;1715;5;2;"Normale";6;11;590;"Autres";1;1;"Masculin";9;72;1946
"2,02E+11";2;18;1557;1;1;"Normale";6;550;590;"Motocyclette";1;4;"Masculin";5;72;1946
"2,02E+11";3;19;1530;1;2;"Normale";1;51;590;"Motocyclette";1;3;"Masculin";4;62;1956
"2,02E+11";3;19;1530;1;2;"Normale";1;51;590;"Motocyclette";1;1;"Autre";5;33;1985
"2,02E+11";3;19;1530;1;2;"Normale";1;51;590;"Autres";1;3;"Masculin";4;62;1956
"2,02E+11";3;19;1530;1;2;"Normale";1;51;590;"Autres";1;1;"Autre";5;33;1985
"2,02E+11";5;28;1830;1;2;"Normale";3;51;590;"Autres";1;1;"Autre";3;38;1980
"2,02E+11";5;28;1830;1;2;"Normale";3;51;590;"Autres";1;3;"Masculin";0;72;1946
"2,02E+11";5;28;1830;1;2;"Normale";3;51;590;"Scooter";1;1;"Autre";3;38;1980
"2,02E+11";5;28;1830;1;2;"Normale";3;51;590;"Scooter";1;3;"Masculin";0;72;1946
"2,02E+11";5;31;430;5;1;"Brouillard - fumée";6;250;590;"Autres";1;3;"Masculin";0;82;1936
"2,02E+11";6;15;845;1;1;"Normale";3;257;590;"Motocyclette";1;3;"Masculin";1;46;1972
"2,02E+11";6;15;845;1;1;"Normale";3;257;590;"Motocyclette";1;1;"Autre";5;57;1961
"2,02E+11";6;15;845;1;1;"Normale";3;257;590;"Autres";1;3;"Masculin";1;46;1972
"2,02E+11";6;15;845;1;1;"Normale";3;257;590;"Autres";1;1;"Autre";5;57;1961
"2,02E+11";7;19;1022;1;2;"Normale";6;51;590;"Autres";1;1;"Masculin";0;72;1946
"2,02E+11";10;31;1945;3;1;"Normale";6;303;590;"Autres";1;3;"Masculin";1;81;1937
"2,02E+11";1;15;725;2;2;"Normale";6;398;590;"Autres";1;1;"Masculin";5;26;1992
"2,02E+11";2;9;1515;1;2;"Neige - grêle";6;129;590;"Autres";1;3;"Masculin";0;59;1959
"2,02E+11";4;7;1145;1;2;"Normale";2;71;590;"Cyclomoteur";1;3;"Masculin";5;85;1933
"2,02E+11";4;7;1145;1;2;"Normale";2;71;590;"Cyclomoteur";1;1;"Autre";5;60;1958
"2,02E+11";4;7;1145;1;2;"Normale";2;71;590;"Autres";1;3;"Masculin";5;85;1933
"2,02E+11";4;7;1145;1;2;"Normale";2;71;590;"Autres";1;1;"Autre";5;60;1958
"2,02E+11";4;17;1610;1;1;"Temps éblouissant";2;197;590;"Motocyclette";1;3;"Masculin";0;39;1979
"2,02E+11";4;17;1610;1;1;"Temps éblouissant";2;197;590;"Motocyclette";1;1;"Masculin";5;73;1945
"2,02E+11";4;17;1610;1;1;"Temps éblouissant";2;197;590;"Autres";1;3;"Masculin";0;39;1979
"2,02E+11";4;17;1610;1;1;"Temps éblouissant";2;197;590;"Autres";1;1;"Masculin";5;73;1945
"2,02E+11";5;27;1600;1;1;"Normale";7;586;590;"Autres";1;1;"Masculin";4;73;1945
"2,02E+11";5;27;1600;1;1;"Normale";7;586;590;"Autres";1;3;"Masculin";9;82;1936
"2,02E+11";5;27;1600;1;1;"Normale";7;586;590;"Bicyclette";1;1;"Masculin";4;73;1945
"2,02E+11";5;27;1600;1;1;"Normale";7;586;590;"Bicyclette";1;3;"Masculin";9;82;1936
"2,02E+11";6;12;1745;1;2;"Normale";6;34;590;"Autres";1;1;"Autre";1;78;1940
"2,02E+11";6;12;1745;1;2;"Normale";6;34;590;"Autres";1;3;"Masculin";5;35;1983
"2,02E+11";6;12;1745;1;2;"Normale";6;34;590;"Scooter";1;1;"Autre";1;78;1940
"2,02E+11";6;12;1745;1;2;"Normale";6;34;590;"Scooter";1;3;"Masculin";5;35;1983
"2,02E+11";7;12;1700;1;2;"Normale";6;398;590;"Autres";1;1;"Masculin";1;50;1968
"2,02E+11";10;12;1845;2;1;"Normale";3;197;590;"Autres";1;1;"Masculin";3;76;1942
"2,02E+11";10;12;1845;2;1;"Normale";3;197;590;"Autres";1;3;"Masculin";1;60;1958
"2,02E+11";10;12;1845;2;1;"Normale";3;197;590;"Autres";1;1;"Masculin";3;76;1942
"2,02E+11";10;12;1845;2;1;"Normale";3;197;590;"Autres";1;3;"Masculin";1;60;1958
"2,02E+11";12;5;1133;1;2;"Pluie légère";6;586;590;"Autres";1;1;"Masculin";0;64;1954
"2,02E+11";2;9;1115;1;2;"Neige - grêle";7;452;590;"Autres";1;2;"Masculin";5;36;1982
"2,02E+11";4;14;1305;1;1;"Normale";3;411;590;"Autres";1;3;"Autre";5;34;1984
"2,02E+11";4;14;1305;1;1;"Normale";3;411;590;"Autres";1;1;"Masculin";0;42;1976
"2,02E+11";4;14;1305;1;1;"Normale";3;411;590;"Autres";1;3;"Autre";5;34;1984
"2,02E+11";4;14;1305;1;1;"Normale";3;411;590;"Autres";1;1;"Masculin";0;42;1976
"2,02E+11";3;28;1700;1;1;"Pluie légère";5;87;590;"Autres";1;3;"Masculin";9;59;1959
"2,02E+11";3;28;1700;1;1;"Pluie légère";5;87;590;"Autres";1;1;"Autre";3;80;1938
"2,02E+11";3;28;1700;1;1;"Pluie légère";5;87;590;"Autres";1;1;"Masculin";4;66;1952
"2,02E+11";3;28;1700;1;1;"Pluie légère";5;87;590;"Autres";1;3;"Masculin";9;59;1959
"2,02E+11";3;28;1700;1;1;"Pluie légère";5;87;590;"Autres";1;1;"Autre";3;80;1938
"2,02E+11";3;28;1700;1;1;"Pluie légère";5;87;590;"Autres";1;1;"Masculin";4;66;1952
"2,02E+11";3;28;1700;1;1;"Pluie légère";5;87;590;"PL";1;3;"Masculin";9;59;1959
"2,02E+11";3;28;1700;1;1;"Pluie légère";5;87;590;"PL";1;1;"Autre";3;80;1938
"2,02E+11";3;28;1700;1;1;"Pluie légère";5;87;590;"PL";1;1;"Masculin";4;66;1952
"2,02E+11";6;17;1215;1;2;"Normale";6;84;590;"Motocyclette";1;3;"Masculin";5;75;1943
"2,02E+11";9;16;1430;1;1;"Normale";7;184;590;"Autres";1;1;"Autre";0;35;1983
"2,02E+11";1;13;1950;5;2;"Normale";7;535;590;"Autres";1;1;"Masculin";5;83;1935
"2,02E+11";2;3;530;3;1;"Temps couvert";7;401;590;"Autres";1;2;"Masculin";1;51;1967
"2,02E+11";5;1;1515;1;2;"Normale";6;401;590;"Autres";1;1;"Masculin";1;48;1970
"2,02E+11";7;6;1509;1;1;"Normale";5;401;590;"Autres";1;1;"Masculin";4;45;1973
"2,02E+11";7;6;1509;1;1;"Normale";5;401;590;"Autres";1;1;"Masculin";4;63;1955
"2,02E+11";7;6;1509;1;1;"Normale";5;401;590;"Autres";1;3;"Masculin";5;79;1939
"2,02E+11";7;6;1509;1;1;"Normale";5;401;590;"Autres";1;1;"Masculin";4;45;1973
"2,02E+11";7;6;1509;1;1;"Normale";5;401;590;"Autres";1;1;"Masculin";4;63;1955
